"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","JMKPURQV","JMKP_RQV","JNONFDQV","JNON_DQV","JOTHSTQV","JOTH_TQV","JDINEOQV","JDIN_OQV","JALOUTQV","JALO_TQV","JMLPAYQV","JMLP_YQV","JSCHMLQV","JSCH_LQV","JMKGRCQV","JMKG_CQV","JALHOMQV","JALH_MQV","CIGARETX","CIGA_ETX","JCIGARQV","JCIG_RQV","JOTBACQV","JOTB_CQV","OTHTBACX","OTHT_ACX"
"20161","03094374",31,0,"1",2226,"F",.,"A",.,"A",650,"D",0,"D",.,"A",.,"A",1817,"F",0,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03094524",31,0,"1",2171,"D",0,"D",.,"A",195,"D",0,"D",.,"A",180,"D",2171,"D",144,"D",260,"D",3380,"D",.,"A",.,"A"
"20161","03094534",18,0,"1",1560,"D",260,"D",.,"A",0,"D",0,"D",.,"A",20,"D",1300,"D",0,"D",20,"D",260,"D",.,"A",.,"A"
"20161","03094544",42,0,"1",650,"D",0,"D",.,"A",0,"D",0,"D",455,"D",.,"A",650,"D",0,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03094604",13,0,"1",260,"D",260,"D",.,"A",195,"D",0,"D",.,"A",.,"A",0,"D",0,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03094664",15,0,"1",520,"D",52,"D",.,"A",0,"D",0,"D",.,"A",.,"A",468,"D",0,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03094764",20,0,"1",1300,"D",192,"F",.,"A",534,"F",0,"D",.,"A",.,"A",721,"F",0,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03095004",19,0,"1",650,"D",585,"D",.,"A",0,"D",0,"D",.,"A",.,"A",65,"D",0,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03095064",37,0,"1",975,"D",130,"D",325,"D",1950,"D",30,"D",.,"A",.,"A",845,"D",30,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03095074",85,0,"1",3900,"D",1300,"D",.,"A",390,"D",0,"D",.,"A",450,"D",2600,"D",0,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03095234",24,0,"1",2600,"D",117,"D",.,"A",585,"D",0,"D",.,"A",.,"A",2483,"D",0,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03095264",20,0,"1",4875,"D",988,"D",.,"A",715,"D",0,"D",.,"A",.,"A",3887,"D",0,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03095284",36,0,"1",1300,"D",260,"D",.,"A",0,"D",0,"D",.,"A",.,"A",1040,"D",0,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03095324",43,0,"1",1300,"D",195,"D",390,"D",390,"D",0,"D",.,"A",.,"A",1105,"D",0,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03095344",14,0,"1",715,"D",260,"D",.,"A",0,"D",0,"D",.,"A",.,"A",455,"D",0,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03095374",54,0,"1",1209,"D",0,"D",0,"D",0,"D",0,"D",.,"A",.,"A",1209,"D",0,"D",13,"D",169,"D",.,"A",.,"A"
"20161","03095564",55,0,"1",2080,"D",520,"D",.,"A",520,"D",105,"D",.,"A",.,"A",1560,"D",450,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03095584",27,0,"1",1625,"D",0,"D",.,"A",520,"D",0,"D",.,"A",.,"A",1625,"D",0,"D",.,"A",.,"A",.,"A",.,"A"
